total_moves,ai_moves,opponent_moves,avg_move_time,total_game_time,nodes_explored,nodes_pruned,pruning_efficiency,winner
17,9,8,0.10490745968288845,0.9444611072540283,0,0,0.0,AI
12,6,6,0.1294523080190023,0.7768990993499756,0,0,0.0,AI
23,12,11,0.08781226476033528,1.0541000366210938,0,0,0.0,AI
14,7,7,0.09196509633745466,0.6439590454101562,0,0,0.0,AI
7,4,3,0.0639272928237915,0.2558012008666992,0,0,0.0,AI
18,9,9,0.10177577866448297,0.9162449836730957,0,0,0.0,AI
7,4,3,0.06354284286499023,0.2542588710784912,0,0,0.0,AI
18,9,9,0.06526803970336914,0.5876898765563965,0,0,0.0,AI
7,4,3,0.18694442510604858,0.747873067855835,0,0,0.0,AI
10,5,5,0.11163167953491211,0.5582969188690186,0,0,0.0,AI
7,4,3,0.06334882974624634,0.25348877906799316,0,0,0.0,AI
8,4,4,0.08629125356674194,0.34528374671936035,0,0,0.0,AI
7,4,3,0.08608835935592651,0.34444284439086914,0,0,0.0,AI
8,4,4,0.037983715534210205,0.15203309059143066,0,0,0.0,AI
7,4,3,0.08540147542953491,0.3417038917541504,0,0,0.0,AI
10,5,5,0.12158045768737794,0.6080358028411865,0,0,0.0,AI
11,6,5,0.09700644016265869,0.5821971893310547,0,0,0.0,AI
8,4,4,0.04623645544052124,0.1850450038909912,0,0,0.0,AI
11,6,5,0.13601330916086832,0.8162388801574707,0,0,0.0,AI
8,4,4,0.04648613929748535,0.1860520839691162,0,0,0.0,AI
11,6,5,0.09325675169626872,0.5596940517425537,0,0,0.0,AI
12,6,6,0.058315674463907875,0.3500533103942871,0,0,0.0,AI
7,4,3,0.061960041522979736,0.2479243278503418,0,0,0.0,AI
12,6,6,0.10360801219940186,0.6218180656433105,0,0,0.0,AI
13,7,6,0.1530350957598005,1.0714399814605713,0,0,0.0,AI
16,8,8,0.08775284886360168,0.7022640705108643,0,0,0.0,AI
7,4,3,0.06135815382003784,0.24551916122436523,0,0,0.0,AI
8,4,4,0.046517789363861084,0.18616294860839844,0,0,0.0,AI
7,4,3,0.06675601005554199,0.26710987091064453,0,0,0.0,AI
12,6,6,0.056672374407450356,0.34020113945007324,0,0,0.0,AI
7,4,3,0.1832895278930664,0.7332520484924316,0,0,0.0,AI
8,4,4,0.037772178649902344,0.15120506286621094,0,0,0.0,AI
7,4,3,0.07336360216140747,0.29355287551879883,0,0,0.0,AI
12,6,6,0.0674667755762736,0.40496015548706055,0,0,0.0,AI
7,4,3,0.09806561470031738,0.3923609256744385,0,0,0.0,AI
10,5,5,0.04037938117980957,0.20201802253723145,0,0,0.0,AI
7,4,3,0.06422722339630127,0.25699877738952637,0,0,0.0,AI
10,5,5,0.16083889007568358,0.8043482303619385,0,0,0.0,AI
7,4,3,0.09305351972579956,0.37230396270751953,0,0,0.0,AI
22,11,11,0.07470826669172807,0.8221402168273926,0,0,0.0,AI
7,4,3,0.18475675582885742,0.7391259670257568,0,0,0.0,AI
16,8,8,0.046990931034088135,0.37615418434143066,0,0,0.0,AI
7,4,3,0.08003824949264526,0.320249080657959,0,0,0.0,AI
12,6,6,0.05707526206970215,0.34261393547058105,0,0,0.0,AI
7,4,3,0.06894928216934204,0.2758777141571045,0,0,0.0,AI
10,5,5,0.05232782363891601,0.2617678642272949,0,0,0.0,AI
25,13,12,0.0730877289405236,0.950509786605835,0,0,0.0,AI
10,5,5,0.1382044792175293,0.6911659240722656,0,0,0.0,AI
7,4,3,0.1052427887916565,0.42107200622558594,0,0,0.0,AI
8,4,4,0.054006218910217285,0.2161390781402588,0,0,0.0,AI
